value;posProb;negProb;overallProb
0;0.08823529411764706;0.21802869619463505;0.1982029598308668
1;0.4515570934256055;0.5492825951341235;0.5343551797040169
2;0.3892733564013841;0.1444167186525265;0.18181818181818182
3;0.05363321799307959;0.05084217092950717;0.051268498942917545
4;0.012110726643598616;0.021210230817217717;0.01982029598308668
5;0.0034602076124567475;0.009669369931378666;0.00872093023255814
6;0.0017301038062283738;0.0034310667498440423;0.003171247357293869
7;0.0;6.238303181534623E-4;5.285412262156448E-4
8;0.0;6.238303181534623E-4;5.285412262156448E-4
9;0.0;9.357454772301934E-4;7.928118393234672E-4
10;0.0;6.238303181534623E-4;5.285412262156448E-4
11;0.0;3.1191515907673113E-4;2.642706131078224E-4
